Questions,class
standard reduction potential cd  aq   voltaic cell described cd   aq cd  aq   aq cd   hydrogen pressure  atm cell potential   measured    ph    half cell,chemistry
following set quantum number    correspond valence elect ron neutral atom arsenic,chemistry
gas phase atom largest radius,chemistry
following represent arrangement electron  subshell ground state gas phase atom,chemistry
atomic nitrogen higher ionization energy atomic oxygen best explained,chemistry
energy required break one mole hydrogen hydrogen bond    kj longest wavelength light sufficient energy break single hydrogen hydrogen bond,chemistry
lewis structure selenite ion seo   many lone pair around central atom,chemistry
removing electron molecular oxygen  form dioxygenyl cation  cause change bond length number unpaired electron bond length number unpaired electron increase increase  increase decrease  decrease increase decrease decrease,chemistry
following mol ecules dipole moment zero,chemistry
formamide structure hconh  atom formamide trigonal planar geometry,chemistry
coor dination geometry nickel nico,chemistry
following ionic compound nh   ii nh,chemistry
formula ethyl propanoate,chemistry
substance exist enantiomeric form,chemistry
following difference benzene cyclooctatetraene,chemistry
base found rna dna,chemistry
triglyceride formed,chemistry
amino acid hydrophobic side cha  neutral ph,chemistry
neutral atom contains  neutron  electron number proton atom,chemistry
isotope element must different,chemistry
element noble gas,chemistry
present periodic table element element arranged according increasing,chemistry
property metal,chemistry
correct formula iron iii phosphate,chemistry
bond br atom,chemistry
amount energy required remove theoutermost electron gaseous atom ground state known,chemistry
occurs atom chlorine anatom hydrogen become molecule hydro gen chloride,chemistry
molecule nonpolar,chemistry
must mixture subtances,chemistry
bottle rubbing alcohol contains  water liquid sepa rated process distillation  water,chemistry
compared pure water aqueous solution calcium chloride,chemistry
condition real gas behave like ideal gas,chemistry
iupac name compound following structural formula,chemistry
statement best explains role catalyst chemical reaction,chemistry
given reaction equilibrium    hbrg rate forward reaction,chemistry
statement best explains atomic mass periodic table decimal num bers,chemistry
organic compound must contain ele ment,chemistry
following compound highest boiling point,chemistry
functional group ñcooh found,chemistry
element best conductor electricity,chemistry
given reaction  al    feswhich specie undergoes reduction,chemistry
energy transformation occurs electrolytic cell operation,chemistry
ph number indicates high est level acidity,chemistry
according arrhenius theory base dissolve water produce,chemistry
compound electrolyte,chemistry
equation represents spontaneous nuclear decay,chemistry
stability isotope based,chemistry
temperature substance decrease theaverage kinetic energy particle,chemistry
atom phosphorus becomes phos phide ion  radius,chemistry
data table represents property determined analysis substance   dwhich substance ionic compound,chemistry
total number electron cr,chemistry
atom group  element ground state considered top bottom successive element,chemistry
solution mixed drop bromthymol blue cause indicator change blue yellow,chemistry
empirical formula compound molecular formula,chemistry
correct lewis electrondot structure compound magnesium  reaction mg     agswhich type reaction represented,chemistry
equation show conservation mass charge,chemistry
volume gas  liter   constant pressure volume gas become  liter kelvin temperature must equal,chemistry
molarity solution containing  gram naoh  milliliter solution,chemistry
graph best represents pressurevolume relationship ideal gas constant temperature,chemistry
given equation   hclthis reaction best described,chemistry
diagram show key plated copper electrolytic cellgiven reduction reaction cell   reduction occurs,chemistry
student neutralized  milliliter hcl adding  milliliter  koh molarity hcl acid,chemistry
nuclear fusion differsfrom nuclear fission becausenuclear fusion reaction,chemistry
day  milligram  sample radioactive isotope remains unchanged halflife element,chemistry
electron configuration represents anatom chlorine excited state,chemistry
successive element group  periodic table considered order increas ing atomic number atomic radius,chemistry
given equation    added  form  entropy system,chemistry
balance equation answer bookletusing smallest wholenumber coefficient,chemistry
using balanced equation show correct numerical setup calculating total number mole  produced  mole  completelyconsumed use space providedin answer booklet record answer base answer question   data table provided answer booklet,chemistry
answer booklet record electronegativity element atomic number,chemistry
grid provided answer bookletmark appropriate scale axislabeled òelectronegativityó,chemistry
grid plot data data table circle connect point examplepart  question part direction  record answer space provided answer booklet base answer question   information student us  gram water temperature ¡ prepare saturated solution potassium chloride kcl,chemistry
identify solute solution,chemistry
according reference table ghow many gram kcl must used create thissaturated solution,chemistry
solution cooled ¡ excess kcl precipitate settle result ing solution saturated ¡ many gram kcl precipitated original solution base answer question   diagram voltaic cell,chemistry
switch closed halfcell oxidation occur,chemistry
switch closed state direction electron flow wire,chemistry
based given equationwrite balanced halfreaction occurs halfcell,chemistry
space provided answer bookletdraw lewis electrondot structure foran atom phosphorus saltbridge pb electrodevoltmetervvoltaic cellags electrodehalfcell     agaq pbspb   agswireswitchpart canswer question part direction  record answer space provided answer booklet base answer question   information brightline spectrum represented many advertising sign depend production light emission gasfilledglass tube subjected highvoltage source light emission passed spectroscope brightline spectrum produced,chemistry
identify twogases unknown mixture,chemistry
explain production emission spectrum term energy state  aga bgas cgas dunknown mixture base answer question   particle diagram show atom andor molecule three different sample matter stp,chemistry
sample represents pure substance,chemistry
two atom yreact one atom za compound form using numberof atom shown sample  maximum number molecule com pound formed,chemistry
explain  xdoes notrepresent compound base answer question   information many artificial flavoring prepared using type organic reaction shown,chemistry
name organic reaction,chemistry
class organic compound reactant  belong,chemistry
space provided answer booklet draw structural formula isomerof reactant   hchhcoohreactant  hhhreactant  cohchhc hhohhsample   sample  xatom yatom zkey base answer question   article reference table physical settingchemistry knowledge chemistry radioactivity home may surprised learn need visit nuclear power plant ahospital xray laboratory find source radioactivity around  fact likely youõll find home front porch may incorporate cinder block granite block contain uranium walk front door look youõll see smoke detector owes effectiveness constant source alpha particle emis sion  long gas remain ionized within shielded con tainer electricity flow calm smoke enters chamber neutralizes charge ion absence ion circuit break alarm go offindicator light appliance may use  electric blanket  fluorescent light  even food eat radioactive potassiumrich food source  radioactive isotope make  natural supply mineralñis present thus brazil nut peanut banana potato flour rich potassium radiation source ñchem mattersapril,chemistry
write equation alpha decay occurs smoke detector containing,chemistry
radioactive decay  different radioactive decay,chemistry
state one benefit useful application radioactivity notmentioned article,chemistry
state one risk danger associated radioactivity  answer question   information gypsum mineral used construction industry make drywall sheetrockthe chemical formula hydrated compound ¥   hydratedcompoundcontains water molecule within crystalline structure gypsum contains  mole water  mole calcium sulfate,chemistry
gram formula mass caso ¥ ,chemistry
space provided answer bookletshow correct numerical setup calculating percent composition mass water compound record answer base answer question   information potential energy diagram chemical cold pack often used reduce swelling athletic injury dia gram represents potential energy change cold pack activated,chemistry
lettered interval diagram represents potential energy product,chemistry
lettered interval diagram represents heat reaction,chemistry
identify reactant listed reference table ithat could mixed water use ina chemical cold pack  answer question   information calcium hydroxide commonly known agricultural lime used adjust soilph lime added field soil ph  lime added soil underwent  decrease hydronium ion concentration,chemistry
new ph soil field,chemistry
according reference table  calcium hydroxide soluble water identify another hydroxide compound contains group  element also soluble water areaction coordinate potential energy bdc,chemistry
answer following question relate solubility salt lead barium saturated solution prepared adding excess pbi  distilled water form   solution  concentration pb  saturated solution found  × − chemical equation dissolution pbi  water shown    −aq write equilibriumconsta nt expression equation ii calculate molar concentration −aq solution iii calculate value equilibrium constant ksp  saturated solution prepared adding pbi  distilled water form   solution   molar concentration pb  −aq solution justify answer  solid nai added saturated solution pbi    assuming volume solution change molar concentration pb  solution increase decrease remain justify answer value ksp salt bacro   × −  ml sample  × − bano  added  ml  × − na  precipitate observed assuming volume additive calculate molar concentration ba  −aq   solution ii use molar concentration ba  ion cro −aq ion determined show precipitate form must include calculation part answer cog,chemistry
combustion carbon monoxide represented equation determine value standard enthalpy change rxn hd combustion co    using following information   cog  hd − kj mol −     hd − kj mol −  determine value standard entropy change rxn sd combustion co    using information following table substance   mol− − cog       determine standard free energy change rxngd reaction   include unit answer reaction spontaneous standard condition   justify answer  calculate value equilibrium constant keq reaction  ,chemistry
answer following question late analysis chemical compound compound containing element    analyzed   sample burned excess oxygen   co  formed combustion analysis also showed sample contained    determine mass gram    sample compound ii compound analyzed   ontent mass percent  found  percent determine mass gr am  original   sample compound iii determine mass gram original   sample compound iv determine empirical formula compound  different compound empirical formula ch  vapor density    −    atm using data determine following molar mass compound ii molecular formula compound stop finish time called may check work part turn part test told,chemistry
write formula show reactant pro duct five la boratory situation described five choice graded case reaction occurs assume solution aqueous unless otherwise indicated repr esent substance solution ion substance extensively ionized omit formula ion molecule unchanged reaction need balance equation example strip magnesium added solution silver nitrate solid potassium chlorate strongly heated  solid silver chloride added solution concentrated hydrochloric acid  solution ethanoic acetic acid added solution barium hydroxide ammonia gas bubbled solution hydrofluoric acid  zinc metal placed solution copperii sulfate  hydrogen phosphide phosphine gas added boron trichloride gas  solution nickelii bromide adde solution potassium hydroxide  hexane combusted air  response rest question part examination  ill graded basis accuracy relevance information cite explanation clear well organized example equation may included response wher  appropriate specific answer preferable broad diffuse response answer question  question  printed pa ge  question graded section ii score weighting ques tions  percent  percent,chemistry
three pure solid compound labeled   placed lab bench objective identifying one known compound listed random order kcl na  mgso  student performs several test compound sults summarized table compound ph aqueous solution compound result adding  naoh solution compound result adding  hcl dropwise solid compound   observed reaction evolution gas  observed reaction observed reaction   formation white precipitate observed reaction identify compound based obse rvations recorded table compound  compound compound   write chemical formula precipitate produced  naoh added solution compound   explain aqueous solution compound  ph value greater  write equation part explanation one testing solution used  naoh describe step preparing  ml  naoh stock solution  naoh using  ml buret  ml volumetric flask distilled water small dropper  describe simple laboratory test could use distinguish na  caco  description specify result test would enable de termine compound  compound caco,chemistry
answer following term prin ciples molecular behavior chemical concept structure glucose   cyclohexane   shown identify type intermolecular attractive force pure glucose ii pure cyclohexane  glucose soluble water cyclohe xane soluble water explain  consider two process represented process       kj mol − process         kj mol − two process identify type intermolecular intramolecular attractive force must overcome process occur ii indicate whether agree disagree statement box support answer short explanation water boil   molecule break apart form hydrogen molecule oxygen molecule  consider four reactionenergy profile diagram shown identify two diagram could represent catalyzed uncatalyzed reaction pathway reaction indicate two diagram represents catalyzed reaction pathway reaction ii indicate whether agree disagree statement box support answer short explanation adding catalyst reaction mixture add energy cause reaction proceed quickly,chemistry
answer following question structure ion contain sulfur fluorine compound sf  bf  react form ionic compound according following equation    draw complete lewis structure sf  cation sf  ii identify type hybridization exhibited sulfur sf  cation iii identify geometry sf  cation consistent lewis structure drawn part ai iv predict whether fœsœf bond angle sf  cation larger equal smaller  justify answer  compound sf  csf react form ionic compound according following equation  csf  draw complete lewis structure sf − anion cssf  ii identify type hybridization exhibited sulfur sf − anion iii identify geometry sf − anion consistent lewis structure drawn part bi iv identify oxidation number sulfur compound cssf,chemistry
suppose stable element atomic number  symbol  discovered write groundstate electron configuration  showing valenceshell electron  would  metal nonmetal explain term electron configuration  basis periodic trend would  la rgest atomic radius group would smallest explain term electronic structure would likely charge  ion stable ionic compound  write balanced equation would represent reaction  water  assume  reacts form carbonate compound write formula compound fo rmed  carbonate ion co − ii predict whether compound would soluble water explain reasoning,chemistry
reaction mixture prepared containing  mol aluminum  mol manganese dioxide mixture heated one reactant completely consumed according equation  al  mno   mn   quantity reactant remains uncombined,chemistry
solution mass   cont aining unknown amount potassium ion treated excess sodium tetraphenylborate precipitate       mass percentage potassium original solution,chemistry
typical polyethylene grocery bag weighs   many metric ton co  would released atmosphere  billion bag used one year united state burned  metric ton  kg,chemistry
mixture water   represents solution concentration closest  mass,chemistry
would freezing point depression   solution compare nacl solution would,chemistry
mol  fraction  oh aqueous solution   oh,chemistry
three different oxide nitrogen contain   nitrogen weigh       respectively empirical formula,chemistry
substa nce used self contained breathing equipment absorbs exhaled   release  gas,chemistry
sample white solid known      aqueous solution  used confirm identity solid,chemistry
infrared frequency cx vibration  depends following mass  ii strength cx bond iii type cx vibration stretch bend,chemistry
permanganate ion  act oxidizing agent form different product depending ph solution pecies correspond condition listed acidic basic neutral        ,chemistry
experiment verify value absolut  zero student instructed measure volume  ml syringe   interval    told plot volume versus temperature extrapolate graph zero volume read resulting temperature  hich modification experimental procedure give best value absolute zero,chemistry
   ×  atm  partial pressure  solution    concentration ×  equilibrium,chemistry
sample gas measured    atm heated   consta nt volume statement true gas heating relative initial state average molecular kinetic energy increased ii average molecular speed unchanged iii pressure gas increased  tm iv number molecular collision per second unchanged,chemistry
condition behavior real gas deviate predicted ideal gas law,chemistry
 liquid nitrogen  gml vaporized volume resulting gas occupy    atm,chemistry
phase diagram sulfur shown statement diagram correct,chemistry
principal difference crystalline amorphous solid crystalline solid amorphous lid,chemistry
state prop erties enthalpy ii heat iii volume,chemistry
 nacl hcl   calculate information reaction  mol                              ,chemistry
  value      co     ii            ,chemistry
cog  fe    substance fe   cog    mol  ,chemistry
temperature reaction equilibrium  nog      rxn  kj  rxn   mol  ,chemistry
 sp      value      aq  oh aq,chemistry
ammonia reacts oxygen according equation        nog   ol experiment rate change nitric oxide found  min  rate change oxygen gas,chemistry
first order reaction rate constant   min  initial reactant concentration  long take concentration fall,chemistry
iodine monochloride reacts hydrogen according equation  iclg      hclg rate data obtained icl  initial rate,chemistry
rate law reaction,chemistry
graph linear reaction second order,chemistry
reaction nitrogen dioxide carbon monoxide   cog   nog st udied following mechanism proposed       nog slow   cog     fast rate law corresponds mechanism,chemistry
reaction rate constant         activation energy   kj value   ,chemistry
reaction   larger    ,chemistry
        added sealed bulb pressure  atm undergoes reaction equilibrium    reacted value   temperature,chemistry
ph pure water    value    ,chemistry
alanine              specie highest concentration ph,chemistry
ph solution formed mixing  ml  solution   ml  hcl  ,chemistry
oh suspension antacid   sp,chemistry
equation balanced correctly using simplest whole number coefficient coefficient     aq    aq  aq  aq    ol,chemistry
au    ag  ag       cu    according standard reduction potentia  substance oxidize one metal must  value,chemistry
 cell bel ow cu  aq  aq no pt half reaction    aq  aq       aq  cu,chemistry
aqueous solution  electrolyzed  hour current  amp mass copper metal formed,chemistry
condition nernst equation used calculate cell potential voltage voltaic cell,chemistry
reaction   cu  aq  cu  sn  aq  sn  fe  aq  fe  zn  aq  zn  mg  aq  mg  according standard reduction potential cathodic protection iron achieved,chemistry
acceptable set quantum number electron,chemistry
orbital radi al node,chemistry
ionization energy vary left right across periodic table factor contribute variation include following change nuclear charge ii difference shieldi ng valence electron iii difference shielding core electron,chemistry
gaseous ion exactly three unpaired electron,chemistry
element highest second ionization energy,chemistry
ion listed order increasing radius except,chemistry
many sigma bond present,chemistry
using vsepr theory molecular structure  best described,chemistry
formal charge oxygen om co,chemistry
valid lewis structure nitrate ion,chemistry
based molecular orbital theory specie highest bond order,chemistry
many carbon atom described  hybridized molecule,chemistry
com pound contains four co linear carbon atom,chemistry
substance exist boat chair configuration,chemistry
th  numbered carbon nicotine chiral stereogenic,chemistry
following monosaccharide except,chemistry
product two molecule eth   cho undergo aldol condensation,chemistry
molecule longest wavelength absorbance maximum,chemistry
wavemechanical model atom orbitals region probable location,chemistry
phrase describes atom,chemistry
total mass smallest,chemistry
element modern periodic table arranged order increasing,chemistry
element group  considered order increasing atomic number increase,chemistry
element metal liquid phase stp,chemistry
list formula represents compound,chemistry
chemical formula ironiii oxide,chemistry
atom element greatest attraction electron bond hydrogen atom,chemistry
property could used identify compound laboratory,chemistry
statement describes occurs two atom bromine combine become molecule bromine,chemistry
given formula oxygen total number electron shared atom represented formula,chemistry
solid zncl  liquid  different,chemistry
phrase describes molarity solution,chemistry
substance notbe decomposed chemical change,chemistry
tetrachloromethane ccl  classified,chemistry
formula represent two polar molecule,chemistry
hydrocarbon compound contain,chemistry
reaction join thousand small identical molecule form one long molecule called,chemistry
iupac name organic compound formula shown,chemistry
voltaic cell spontaneously convert chemical energy,chemistry
given balanced equation representing reactionmgs   niswhat total number mole electron lost mg  mole electron gained ni,chemistry
halfreaction correctly represents reduction,chemistry
indicator blue solution ph,chemistry
arrhenius theory explains behavior,chemistry
laboratory process could student use  naohaq determine concentra tion aqueous solution hbr,chemistry
nuclear reaction two light nucleus combine form massive nucleus called,chemistry
nucleus  atom unstable cause nucleus spontaneously,chemistry
serious risk factor associated operation nuclear power plant production,chemistry
total number proton atom electron configuration,chemistry
two element similar chemical property,chemistry
ground state atom element two valence electron element lower first ionization energy calcium element located periodic table,chemistry
equation show conservation mass charge,chemistry
percent composition mass hydrogen nh  mass  gramsmole,chemistry
total number valence electron sulfide ion ground state,chemistry
temperature  equivalent temperature,chemistry
balanced equation represents chemical change,chemistry
gram kcl dissolved  gram water  resulting mixture described,chemistry
aqueous solution ki freeze lowesttemperature,chemistry
compound member homologous series ,chemistry
equation represents oxidation reduction reaction,chemistry
given balanced equation representing    oxidation state chlorine reaction change,chemistry
potential energy diagram chemical reaction shown interval axis labeled ﬁpotential energy kjﬂ represents  kilojoules heat reaction,chemistry
given balanced equation representing reaction occurring electrolytic cell    na produced cell,chemistry
given balanced equation representing    ohœaqaccording one acidbase theory nh  act,chemistry
volume  hno  needed completely neutralize  milliliter  naohaq,chemistry
given balanced equation representing nuclear reaction        energywhich particle represented ,chemistry
original sample radioisotope  mass  milligram  milligram original sample remain unchanged  second halflife,chemistry
nuclide paired specific use nuclide,chemistry
identify oneion table fthat combine pb  produce insoluble compound,chemistry
oneappropriate laboratory test used determine malleability solid sample element room temperature,chemistry
state twomethods increase rate chemical reaction explain term particle behavior eachmethod increase reaction rate base answer question   information naturally occurring isotope copper,chemistry
state term subatomic particle atom  differs atom,chemistry
total number electron atom,chemistry
atomic mass  expressed number significant figure,chemistry
space answer booklet show correct numerical setup calculating atomic mass copper isotopenotationpercent naturalabundanceatomic massatomic mass unit  base answer question   information boiling point liquid temperature vapor pressure liquid equal pressure surface liquid heat vaporization ethanol  joule per gram sample ethanol mass  gram boiling  atmosphere,chemistry
based table  temperature sample ethanol,chemistry
calculate minimum amount heat required completely vaporize sample ethanol response must include correct numerical setup calculated result base answer question   information equation represents reaction butanoic acid unidentified reactant  type organic reaction represented equation,chemistry
write molecular formula organic product equation,chemistry
space answer booklet draw structural formula unidentified reactant  equation chhhchhchhcoohchhhchhchhcoochhchhhhohx base answer question   information piece magnesium ribbon reacted excess hydrochloric acid produce aqueous magnesium chloride hydrogen gas volume dry hydrogen gas produced  milliliter temperature gas   pressure  kilopascals,chemistry
balance equation answer booklet using smallest wholenumber coefficient,chemistry
identify type bond atom molecule gas produced laboratory investigation,chemistry
calculate volume dry hydrogen gas would occupy stp response must include botha correct numerical setup calculated result base answer question   information laboratory glass tube filled hydrogen gas low pressure scientist applies high voltage metal electrode tube light emitted scientist analyzes light spectroscope observes four distinct spectral line table give color frequency energy four spectral line unit frequency hertz hz visible spectrum hydrogen,chemistry
grid answer booklet plot data data table frequency andenergy circle connect point including point  already plotted circled,chemistry
spectral line infrared region spectrum hydrogen frequency  × using graph estimate energy associated spectral line,chemistry
explain term subatomic particle energy state light emitted hydrogen gas,chemistry
identify onecondition notmentioned passage hydrogen gas behaves like ideal gas colorfrequency× × –  canswer question part  record answer space provided answer booklet base answer question   information carbon oxygen example element exist one form phase graphite diamond two crystalline arrangement carbon crystal structure graphite organized layer bond carbon atom within layer graphite strong bond carbon atom connect different layer graphite weak shared electron bond loosely held carbon atom crystal structure diamond strong network atom shared electron strongly held carbon atom graphite electrical conductor diamond  graphite density  gcm  diamondhas density  gcm  element oxygen exist diatomic molecule  ozone  standard pressure boiling point ozone  ,chemistry
explain term electron graphite electrical conductor diamond response must include information bothgraphite diamond,chemistry
calculate volume cm  diamond  mass  gram response must include botha correct numerical setup calculated result,chemistry
explain term intermolecular force difference boiling point   standard pressure response must include information   base answer question   information portable propanefueled lantern contains mesh silk bag coated metal hydroxide primary metal hydroxide yttrium hydroxide silk bag installed ignited burned away leaving metal hydroxide coating coating form metal oxide glow brightly heated high temperature test propane lantern operated three hour consumes  mole propane lantern™ tank balanced equation represents combustion propane    energy,chemistry
standard pressure boiling point propane   box answer booklet draw particle diagram represent phase propane leaf tank   response must include least six molecule,chemistry
calculate total mass propane consumed lantern test response must include botha correct numerical setup calculated result,chemistry
determine total number mole co  lantern test,chemistry
write formula primary metal hydroxide used lantern base answer question   information person perspires sweat body loses many sodium ion potassium ion evaporation sweat cool skin strenuous workout people often quench thirst sport drink contain nacl kcl single  serving one sport drink contains  gram sodium ion,chemistry
space answer booklet show correct numerical setup calculating concentration sodium ion sport drink expressed percent mass,chemistry
describe transfer energy skin surroundings person perspires sweat evaporates,chemistry
state salt sport drink classified electrolyte,chemistry
space answer booklet draw lewis electrondot diagram oneof positive ion lost body person perspires,chemistry
hfaq    faqka,chemistry
hydrofluoric acid hf aq dissociates water represented equation write equilibriumconstant expression dissociation hf aq water  calculate molar concentration    hf aq solution hfaq reacts naoh aq according reaction represented hfaq oh aq   aq volume  ml  naoh aq added  ml  hf aq solution assume volume additive  calculate number mole hf aq remaining solution calculate molar concentration  aq solution  calculate ph solution       hd  kj mol  sd    mol,chemistry
following question relate synthesis reaction represented chemical equation box calculate value standard free energy change  gd reaction  determine temperature equilibrium constant keq reaction equal  assume hand independent temperature  calculate standard enthalpy change  occurs  mol sample nf  formed      atm   enthalpy change chemical reaction difference energy absorbed breaking bond reactant energy released bond formation product many bond formed two molecule nf  produced according equation box  use information box table average bond enthalpy calculate average enthalpy   bond bondaverage bond enthalpy kj  – –,chemistry
external directcurrent power supply connected two platinum electrode immersed beaker containing  cuso    shown diagram cell operates copper metal deposited onto one electrode  produced electrode two reduction halfreactions overall reaction occurs cell shown table halfreaction ev   haq         diagram indicate direction electron flow wire  write balanced net ionic equation electrolysis reaction occurs cell  predict algebraic sign  reaction justify prediction calculate value  reaction electric current  amp pass cell  minute  calculate mass gram cu deposited electrode  calculate dry volume liter measured    atm  produced stopif finish time called may check work part turn part test told,chemistry
following three reaction part write balanced equation reaction part ii answer question reaction part coefficient term lowest whole number assume solution aqueous unless otherwise indicated represent substance solution ion substance extensively ionized omit formula ion molecule unchanged reaction may use empty space bottom next page scratch work equation written answer box provided graded solution sodium hydroxide added solution leadii nitrate balanced equation ii   volume  solution sodium hydroxide leadii nitrate mixed together many mole product produced assume reaction go completion  excess nitric acid added solid calcium carbonate balanced equation ii briefly explain statue made marble calcium carbonate displayed outdoors urban area deteriorating  solution containing silveri ion oxidizing agent mixed solution containing ironii ion reducing agent balanced equation ii content reaction mixture described filtered substance would remain filter paper answer question  question  section ii score weighting question  percent response question graded basis accuracy relevance information cited explanation clear well organized example equation may included response appropriate specific answer preferable broad diffuse response   mno    aq  fe  mn   ,chemistry
mass percent iron soluble ironii compound measured using titration based balanced equation oxidation number manganese permanganate ion mno   identify reducing agent reaction represented mass sample ironii compound carefully measured sample dissolved distilled water resulting solution acidified   solution titrated mno  end point reached  describe color change occurs flask end point titration reached explain color solution change end point let variable gm  defined follows  mass gram sample ironii compound molarity mno  used titrant  volume liter mno  added reach end point term variable number mole mno  added reach end point titration expressed  using variable defined molar mass iron   mol  coefficient balanced chemical equation write expression following quantity number mole iron sample ii mass iron sample gram iii mass percent iron compound  effect adding much titrant experimentally determined value mass percent iron compound justify answer,chemistry
answer following question pertain binary compound box provided draw complete lewis electrondot diagram  molecule  basis lewis electrondot diagram drew part predict molecular geometry  molecule   molecule bond sulfur oxygen length explain observation supporting explanation drawing box lewis electrondot diagram diagram  molecule basis lewis electrondot diagram part  identify hybridization sulfur atom  molecule reaction   form  represented      reaction exothermic reaction slow   however catalyst cause reaction proceed faster  using ax provided next page draw complete potentialenergy diagram catalyzed uncatalyzed reaction clearly label curve represents catalyzed reaction  predict ratio equilibrium pressure  would change temperature uncatalyzed reaction mixture increased justify prediction  would presence catalyst affect change ratio described part  explain,chemistry
statement describes structure atom,chemistry
term defined region atom electron likely located,chemistry
number electron atom scandium,chemistry
particle leastmass,chemistry
electron transition excited atom result release energy,chemistry
periodic table number proton atom element indicated,chemistry
type formula show element symbol atom line bond atom,chemistry
conserved chemical reaction,chemistry
type reaction two compound exchange ion form two different compound,chemistry
stp two  solid sample different ionic compound density solid sample could differentiated,chemistry
number electron shared atom,chemistry
substance nonpolar covalent bond,chemistry
compared potassium atom potassium ion,chemistry
form energy associated random motion particle gas,chemistry
average kinetic energy water molecule decreaseswhen,chemistry
joule unit,chemistry
compared sample helium stp sample helium higher temperature lower pressure,chemistry
sample gas sealed rigid container maintains constant volume change occur gas particle sample heated,chemistry
stp gaseous sample number molecule  liter ,chemistry
distillation crude oil various part world yield different percentage hydrocarbon statement explains different percentage,chemistry
sample particle arranged crystal structure,chemistry
reversible reaction equilibrium concentration product concentration reactant must,chemistry
chemical reaction difference potential energy product potential energy reactant equal,chemistry
occurs catalyst added chemical reaction,chemistry
name compound formula,chemistry
compound isomer ,chemistry
ethanoic acid  react produce water compound classified,chemistry
oxidationreduction reaction number electron gained,chemistry
process requires energy nonspontaneous redox reaction occur,chemistry
pair compound represents one arrhenius acid one arrhenius base,chemistry
electron configuration represents electron atom neon excited state,chemistry
information two naturally occurring isotope gallium given table natural abundance two gallium isotope numerical setup used calculate atomic mass gallium,chemistry
student measure mass volume sample copper room temperature  kpa mass  gram volume  cubic centimeter student calculates density sample percent error student™ calculated density,chemistry
chemical formula sodium sulfate,chemistry
given balanced equation representing    energyif  gram na  gram cl  total mass nacl produced,chemistry
given balanced equation representing   mole ratio,chemistry
